symbol,adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_windows,mean_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,sum_oos_n_trades,pct_oos_positive,robustness_score
AUDUSD_X_15m,20,20,200,2,10,14,2.0,20.0,18.0,0.1,15,95,100,1.5,0.5,3.0,30,0.25,8,-1.1050349804341815,-0.00864886315479357,-1.4517548706045729,15,0.125,-0.3906888640566768
AUDUSD_X_15m,20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,200,1.0,2.0,1.5,10,1.0,8,-0.4848595225493473,-0.03061411086180702,-9.154234892115483,14,0.25,-0.34284745631751523
AUDUSD_X_15m,20,10,50,5,14,14,2.0,25.0,15.0,0.1,10,90,200,2.0,2.0,1.5,30,1.0,8,-1.399134706015124,-0.08261179917895495,-10.259906103265108,15,0.125,-0.4946688192083704
AUDUSD_X_15m,14,10,100,5,20,14,4.0,30.0,20.0,0.05,15,85,200,1.0,1.0,3.0,10,0.25,8,-1.500697112757901,-0.02302091656269008,-2.628399985971355,12,0.0,-0.0
AUDUSD_X_15m,14,14,50,3,14,10,4.0,20.0,20.0,0.2,5,85,200,1.0,0.5,3.0,10,1.0,8,-1.3063269649710874,-0.0113220202212083,-1.2797860335078635,12,0.0,-0.0
AUDUSD_X_15m,14,10,100,3,20,10,2.0,20.0,15.0,0.1,15,95,200,1.5,2.0,2.0,30,1.0,8,-1.1739348988169467,-0.04602156212190798,-4.720240632373718,9,0.0,-0.0
AUDUSD_X_15m,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,0.5,8,-1.4631226245569433,-0.01984093661796442,-2.5768472734331747,28,0.0,-0.0
AUDUSD_X_15m,10,10,200,5,20,20,3.0,25.0,15.0,0.1,5,90,100,2.0,0.5,2.0,20,0.5,8,-0.9798322758498957,-0.01061723473106431,-1.3282217770366405,10,0.0,-0.0
AUDUSD_X_15m,20,14,100,3,20,14,2.0,30.0,20.0,0.05,10,85,200,2.0,1.0,1.5,30,0.25,8,-1.6191148979301122,-0.03378908932836569,-3.405957066535218,13,0.0,-0.0
AUDUSD_X_15m,20,20,50,5,14,14,3.0,20.0,18.0,0.2,10,90,100,2.0,1.0,3.0,20,0.5,8,-1.2226852284532606,-0.02412363695168599,-3.2325955903310177,15,0.125,-0.4322845081479618
BZ_F_15m,20,10,200,2,14,14,3.0,20.0,15.0,0.2,15,95,100,2.0,2.0,2.0,10,1.0,8,-0.5945851141943661,-0.007603474249379884,-1.121643895317665,7,0.0,-0.0
BZ_F_15m,14,14,100,2,20,20,4.0,20.0,20.0,0.05,10,90,100,1.0,2.0,1.5,30,1.0,8,0.4332095702769574,0.04278604615067616,-1.6419763236214173,9,0.375,0.45948813722662024
BZ_F_15m,20,20,50,3,20,20,3.0,25.0,18.0,0.1,5,95,200,1.5,2.0,3.0,10,0.5,8,-0.7865657679858696,-0.010325392696791391,-1.9753967125264524,9,0.125,-0.2780929941960065
BZ_F_15m,10,20,50,3,10,14,4.0,25.0,18.0,0.2,5,85,200,1.5,1.0,1.5,20,0.25,8,-0.05745357810085219,0.0008506955900798631,-1.0992047823535822,7,0.375,-0.06093872201781528
BZ_F_15m,20,20,50,3,14,10,2.0,20.0,15.0,0.05,15,85,200,1.5,1.0,3.0,20,0.25,8,0.08987350953413675,0.009685766564927803,-1.6644421781769054,12,0.625,0.15887542010155487
BZ_F_15m,10,10,50,5,20,20,2.0,30.0,20.0,0.1,5,85,100,1.5,2.0,3.0,30,0.25,8,0.13435186649433764,0.010577070853918439,-2.722617238847792,8,0.5,0.19000223172643171
BZ_F_15m,20,20,200,3,14,10,3.0,25.0,15.0,0.2,10,85,200,1.5,1.0,2.0,30,1.0,8,-0.33304265509221676,-0.002952138483522799,-1.1291537524569306,9,0.25,-0.23549671984007894
BZ_F_15m,10,20,100,3,10,20,2.0,25.0,20.0,0.1,15,85,200,1.5,2.0,3.0,10,0.5,8,0.19536318668585143,0.012576681105025,-2.559152546317796,13,0.375,0.20721395114966845
BZ_F_15m,20,20,50,5,14,20,4.0,25.0,15.0,0.2,10,95,200,1.5,0.5,2.0,10,0.5,8,-0.6658040650458883,-0.003505286674727313,-0.69225304918397,11,0.125,-0.23539728466775842
BZ_F_15m,20,10,100,2,20,20,4.0,20.0,18.0,0.2,10,95,200,2.0,2.0,2.0,30,0.25,8,0.5640486130850908,0.021139426739181115,-1.0093469481555213,7,0.375,0.5982638988470024
BZ_F_15m,20,10,200,5,20,20,2.0,20.0,15.0,0.1,5,85,100,1.0,0.5,1.5,20,1.0,8,-0.42032227141380285,-0.0033127331377971587,-0.7802111116102496,14,0.25,-0.29721272840043256
BZ_F_15m,10,14,50,3,10,14,4.0,25.0,18.0,0.2,5,90,100,1.0,0.5,3.0,30,0.25,8,-0.06216533506123306,0.0012715700443059177,-0.6240660480498589,7,0.5,-0.08791505995306348
BZ_F_15m,14,14,50,2,14,20,2.0,20.0,18.0,0.2,15,90,100,1.0,0.5,2.0,30,1.0,8,-0.41347735275548075,-0.0004795993888293195,-0.4933148049487562,9,0.125,-0.14618632000023132
BZ_F_15m,14,20,100,2,10,14,3.0,30.0,18.0,0.2,15,95,200,1.0,0.5,1.5,20,1.0,8,-0.25597784699404114,-0.0010937704992792078,-0.35958637691065254,5,0.125,-0.0905018357215095
BZ_F_15m,10,20,50,3,14,20,4.0,20.0,15.0,0.2,10,90,200,1.5,0.5,2.0,20,1.0,8,-0.2976694907346412,-0.001965644672687972,-0.6270125253003458,11,0.375,-0.3157261731762165
BZ_F_15m,14,20,50,5,10,20,2.0,20.0,20.0,0.1,15,85,200,1.0,2.0,3.0,10,0.25,8,-0.3760490757304951,0.004528159155206955,-3.462466641951136,18,0.25,-0.26590685150796667
BZ_F_15m,10,20,100,2,20,10,4.0,20.0,15.0,0.1,10,90,100,1.5,0.5,2.0,10,0.5,8,-0.337328627434019,-0.00105618591640025,-0.25421202495621087,5,0.125,-0.11926367997347265
BZ_F_15m,14,10,200,3,14,14,3.0,30.0,15.0,0.2,10,90,200,2.0,1.0,3.0,20,1.0,8,-0.3674321926110048,-0.002346775037058046,-1.314073225167124,10,0.375,-0.38972069253222474
BZ_F_15m,14,10,200,2,14,10,4.0,20.0,18.0,0.2,10,90,200,1.5,0.5,3.0,10,0.5,8,-0.5293943980970379,0.00042476684312211995,-0.32676750139115796,11,0.25,-0.3743383688165863
BZ_F_15m,14,20,200,2,14,10,2.0,20.0,20.0,0.2,5,95,200,2.0,1.0,2.0,10,1.0,8,-0.3067590430724968,-0.0021720587209634688,-0.6442859002246736,9,0.375,-0.32536709932028807
BZ_F_15m,14,20,50,5,14,14,2.0,25.0,20.0,0.05,5,95,100,1.0,1.0,1.5,10,0.25,8,-0.9942100777467264,-0.012365726379395755,-2.208119371345858,15,0.375,-1.0545190318480724
BZ_F_15m,14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,8,0.4422511053772339,0.0563627763924492,-1.8092885122897622,8,0.5,0.6254375111989771
BZ_F_15m,14,14,200,5,10,14,4.0,25.0,15.0,0.1,5,90,100,1.0,2.0,1.5,10,0.25,8,-0.17685649839634165,-0.0012743714892483014,-2.900221344822277,11,0.5,-0.2501128586259219
BZ_F_15m,10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,8,-0.49920699622772763,0.008275861754426454,-4.267345091927308,17,0.375,-0.5294889783725902
