adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
10,14,50,3,10,14,4.0,25.0,18.0,0.2,5,90,100,1.0,0.5,3.0,30,0.25,43,43,-0.6964622685281763,-0.634856805676254,-0.0030700316233433014,-0.6326566862338001,0.0,0.23255813953488372,1.0,-0.0
10,14,200,3,14,10,3.0,30.0,15.0,0.2,5,85,200,1.0,1.0,2.0,20,1.0,40,40,-0.7328069724306012,-0.6562062966843585,-0.010478894642738105,-1.4748937808732974,0.025,0.075,1.0,-0.06803328757761086
20,20,200,2,10,14,2.0,20.0,18.0,0.1,15,95,100,1.5,0.5,3.0,30,0.25,41,41,-0.7843196468423473,-0.8162861816264084,-0.004794567217949675,-0.760405788995003,0.024390243902439025,0.0975609756097561,1.0,-0.07150067597622885
20,10,200,2,14,14,3.0,20.0,15.0,0.2,15,95,100,2.0,2.0,2.0,10,1.0,42,42,-0.8358682170471706,-0.9004807321704662,-0.020590296468111956,-2.5910188665572216,0.023809523809523808,0.07142857142857142,1.0,-0.07485399130148547
14,20,200,2,14,10,2.0,20.0,20.0,0.2,5,95,200,2.0,1.0,2.0,10,1.0,43,43,-0.8787704446801614,-0.9929300544492778,-0.011219631553826975,-1.4226386591955742,0.023255813953488372,0.09302325581395349,1.0,-0.07733567458959087
14,20,100,2,10,14,3.0,30.0,18.0,0.2,15,95,200,1.0,0.5,1.5,20,1.0,47,47,-0.8165695568907041,-0.8471283947966095,-0.008615053063470022,-1.118917978630496,0.0425531914893617,0.0425531914893617,1.0,-0.13451510187710222
10,14,50,3,10,10,4.0,20.0,20.0,0.05,15,90,100,2.0,2.0,2.0,20,0.25,50,50,-0.9649473433602496,-1.0392259675987954,-0.026485342099383496,-4.24188064196775,0.04,0.24,1.0,-0.15176018795412283
20,20,200,3,14,10,3.0,25.0,15.0,0.2,10,85,200,1.5,1.0,2.0,30,1.0,47,47,-0.614936763921028,-0.631733113618105,-0.008125060307129896,-1.435151162910977,0.06382978723404255,0.19148936170212766,1.0,-0.1519496056682241
20,20,50,3,10,14,3.0,25.0,20.0,0.1,10,85,100,2.0,2.0,3.0,10,0.25,49,49,-0.9669076627303734,-1.0252460242357886,-0.017701981649064263,-2.753276999599791,0.04081632653061224,0.1836734693877551,1.0,-0.15439040900922363
20,20,200,3,10,14,3.0,20.0,18.0,0.1,10,90,100,2.0,1.0,1.5,10,0.5,49,49,-0.9869417151875876,-1.0545694593971464,-0.01737362904685994,-2.3109767804249897,0.04081632653061224,0.16326530612244897,1.0,-0.15758933448287982
10,20,100,2,20,10,4.0,20.0,15.0,0.1,10,90,100,1.5,0.5,2.0,10,0.5,42,42,-0.9177365194101925,-0.9154480072295796,-0.006824499365429894,-0.835858957545611,0.047619047619047616,0.07142857142857142,1.0,-0.1643709858562773
14,10,200,2,14,10,4.0,20.0,18.0,0.2,10,90,200,1.5,0.5,3.0,10,0.5,44,44,-0.9643637162846271,-1.1001212293954516,-0.007000194965194564,-0.8947587628586152,0.045454545454545456,0.11363636363636363,1.0,-0.16686396296709988
14,10,100,3,20,10,2.0,20.0,15.0,0.1,15,95,200,1.5,2.0,2.0,30,1.0,48,48,-0.7324446046711756,-0.8298679889235406,-0.01963820993626539,-3.3198833881206675,0.0625,0.1875,1.0,-0.1781589237313059
10,14,100,2,20,20,2.0,20.0,15.0,0.2,15,95,200,1.5,1.0,1.5,30,0.25,43,43,-0.7543744495774636,-0.8948166852685607,-0.013472450491696071,-1.9083286096301804,0.06976744186046512,0.11627906976744186,1.0,-0.19916483526863943
10,14,200,3,14,20,2.0,25.0,20.0,0.2,15,95,100,1.0,2.0,2.0,10,0.5,49,49,-0.8370281670526752,-0.9098770009124328,-0.025337324740660732,-3.691023196246376,0.061224489795918366,0.1836734693877551,1.0,-0.20047796606335216
14,10,200,3,14,14,3.0,30.0,15.0,0.2,10,90,200,2.0,1.0,3.0,20,1.0,35,35,-0.7120607956171471,-0.6850306478822279,-0.006396382872232816,-1.0077033449927773,0.08571428571428572,0.08571428571428572,1.0,-0.2187157154079576
20,20,50,5,14,20,4.0,25.0,15.0,0.2,10,95,200,1.5,0.5,2.0,10,0.5,50,50,-0.989463239133461,-1.1246527632185717,-0.006803221437216569,-0.958466139809884,0.06,0.16,1.0,-0.23342381557580286
14,14,100,2,20,14,3.0,20.0,18.0,0.1,10,95,100,1.5,2.0,3.0,10,1.0,46,46,-0.9498915919453471,-0.9734060050183275,-0.029080426796702852,-3.695637933907384,0.06521739130434782,0.08695652173913043,1.0,-0.23851453269214745
10,10,200,5,20,10,4.0,30.0,18.0,0.2,15,90,200,1.0,1.0,1.5,30,0.25,51,51,-0.6415986327513602,-0.6638688157823788,-0.010584513869034352,-1.9137570045977357,0.09803921568627451,0.2549019607843137,1.0,-0.24854044779502393
20,14,50,3,14,10,3.0,25.0,20.0,0.05,5,95,200,2.0,1.0,3.0,10,0.5,46,46,-0.7529146536456098,-0.7460039086091544,-0.006674929041227594,-0.9877262219122602,0.08695652173913043,0.15217391304347827,1.0,-0.25207239548052207
10,20,50,3,14,20,4.0,20.0,15.0,0.2,10,90,200,1.5,0.5,2.0,20,1.0,46,46,-0.755210992276732,-0.8302407832333774,-0.005141673935451056,-0.7984206466412517,0.08695652173913043,0.13043478260869565,1.0,-0.25284119919124637
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,200,1.0,2.0,1.5,10,1.0,45,45,-0.9942075244477394,-1.1051187741478887,-0.04780663051591764,-5.97498014658893,0.06666666666666667,0.06666666666666667,1.0,-0.2537642723201039
10,14,50,2,20,10,2.0,20.0,15.0,0.2,15,95,200,1.0,0.5,2.0,30,1.0,43,43,-0.7518464917842242,-0.852056865834713,-0.007612406544347343,-1.0604844592780462,0.09302325581395349,0.11627906976744186,1.0,-0.2646632279542021
20,20,50,5,20,14,3.0,25.0,15.0,0.1,10,95,200,1.5,2.0,1.5,30,0.25,55,55,-0.6165219740136,-0.6848290311782422,-0.022287757269312602,-4.241394585902354,0.10909090909090909,0.3090909090909091,1.0,-0.27073284768774725
20,20,50,3,20,20,3.0,25.0,18.0,0.1,5,95,200,1.5,2.0,3.0,10,0.5,46,46,-0.6495042224932762,-0.7306979677352246,-0.011547082018596543,-1.8215843204198292,0.10869565217391304,0.17391304347826086,1.0,-0.2718138178840265
20,10,100,2,14,14,2.0,30.0,15.0,0.1,10,95,100,1.5,1.0,1.5,30,0.5,34,34,-0.6619260371906226,-0.6178230325833457,-0.010918543088831107,-1.6654724746936826,0.11764705882352941,0.11764705882352941,1.0,-0.2768679356676529
20,20,100,3,20,10,2.0,25.0,15.0,0.2,15,85,100,1.5,1.0,2.0,30,0.25,47,47,-0.5774978721083269,-0.6039780274318869,-0.0069412498545058645,-1.4115030581192984,0.1276595744680851,0.23404255319148937,1.0,-0.285397065485478
14,20,50,5,10,20,2.0,20.0,20.0,0.1,15,85,200,1.0,2.0,3.0,10,0.25,54,54,-1.293183654879397,-1.3720745638016436,-0.031388898189912744,-4.728647770589786,0.05555555555555555,0.18518518518518517,1.0,-0.2879009874888012
10,10,100,3,10,10,2.0,25.0,20.0,0.2,5,90,100,1.0,2.0,3.0,20,0.5,49,49,-0.723869091037923,-0.7824101757197894,-0.013241657976234993,-2.39653117389693,0.10204081632653061,0.16326530612244897,1.0,-0.28895842214884854
20,10,100,2,20,20,4.0,20.0,18.0,0.2,10,95,200,2.0,2.0,2.0,30,0.25,45,45,-0.6841081368531529,-0.8529401689340568,-0.019765728095295622,-3.2829825255125717,0.1111111111111111,0.2,1.0,-0.29102274804788975
20,10,100,2,14,10,2.0,30.0,18.0,0.05,10,85,200,1.5,0.5,3.0,20,0.5,44,44,-0.8516493699167955,-0.9791156408247339,-0.007331472332625415,-1.111436787433942,0.09090909090909091,0.1590909090909091,1.0,-0.29472197371807207
14,10,200,2,10,10,3.0,30.0,20.0,0.2,10,90,200,1.0,2.0,1.5,10,1.0,48,48,-0.9576014196358994,-1.0359200745674086,-0.04463332344477051,-5.543865416715977,0.08333333333333333,0.10416666666666667,1.0,-0.31056772020321205
14,14,200,2,10,14,3.0,30.0,18.0,0.1,10,85,100,1.0,1.0,3.0,30,0.25,46,46,-0.7472420856908065,-0.8209718996528267,-0.013911738338590107,-2.3430664278570332,0.10869565217391304,0.21739130434782608,1.0,-0.312716556969487
20,20,50,3,14,10,2.0,20.0,15.0,0.05,15,85,200,1.5,1.0,3.0,20,0.25,47,47,-0.7687713012043033,-0.8905765754901436,-0.008363027094101111,-1.5348612500716676,0.10638297872340426,0.23404255319148937,1.0,-0.31660300408288017
14,14,50,2,14,20,2.0,20.0,18.0,0.2,15,90,100,1.0,0.5,2.0,30,1.0,46,46,-0.7769262261354556,-0.8569378975777371,-0.009412081715890456,-1.3994812578904785,0.10869565217391304,0.1956521739130435,1.0,-0.3251392006805512
10,20,100,3,10,20,2.0,25.0,20.0,0.1,15,85,200,1.5,2.0,3.0,10,0.5,50,50,-1.0453954781724195,-1.1388962045662296,-0.022451124396534534,-3.269987467499358,0.08,0.16,1.0,-0.3288250189929938
20,10,50,5,10,20,3.0,20.0,15.0,0.1,15,95,200,1.5,1.0,3.0,30,0.5,52,52,-0.8615134405935435,-0.9191364645207197,-0.010535351854258272,-2.0519467695780325,0.09615384615384616,0.2692307692307692,1.0,-0.32889036986586656
20,10,200,5,20,20,2.0,20.0,15.0,0.1,5,85,100,1.0,0.5,1.5,20,1.0,51,51,-0.8534546731998184,-0.9229810484736786,-0.007750996899049724,-1.2255113624712253,0.09803921568627451,0.1568627450980392,1.0,-0.3306085702524262
20,14,100,3,20,14,2.0,30.0,20.0,0.05,10,85,200,2.0,1.0,1.5,30,0.25,50,50,-0.6095561761423953,-0.6395616463186509,-0.010219834495155051,-1.8156946493226516,0.14,0.26,1.0,-0.3355336037118932
10,10,200,5,20,20,3.0,25.0,15.0,0.1,5,90,100,2.0,0.5,2.0,20,0.5,47,47,-0.6862438369926844,-0.801356172530276,-0.004012128843968879,-0.7923748273255364,0.1276595744680851,0.19148936170212766,1.0,-0.3391388726164327
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,48,48,-0.8492303921456864,-0.8946396001439276,-0.04005058593953937,-5.9114503471689614,0.10416666666666667,0.1875,1.0,-0.34427625811719054
14,10,100,5,20,14,4.0,30.0,20.0,0.05,15,85,200,1.0,1.0,3.0,10,0.25,49,49,-0.8642361092768026,-0.9456744810124639,-0.009292269387047327,-1.400468633910732,0.10204081632653061,0.1836734693877551,1.0,-0.3449909736339352
10,14,200,2,10,14,3.0,30.0,20.0,0.2,15,85,200,1.5,0.5,3.0,10,1.0,46,46,-1.1000505483383298,-1.2451226164629543,-0.009004889530844934,-1.1391521961028181,0.08695652173913043,0.10869565217391304,1.0,-0.3682919113430135
10,14,50,5,20,10,3.0,25.0,20.0,0.2,15,90,100,1.0,1.0,2.0,30,0.5,52,52,-0.6046209431041032,-0.7282090836431953,-0.00929746839785867,-1.869878712969515,0.15384615384615385,0.25,1.0,-0.36931102171853514
14,14,200,5,10,14,4.0,25.0,15.0,0.1,5,90,100,1.0,2.0,1.5,10,0.25,54,54,-1.0154102321849041,-1.1380634383001258,-0.03887922683900873,-5.430176722198728,0.09259259259259259,0.25925925925925924,1.0,-0.3767673259314051
10,20,50,3,10,14,4.0,25.0,18.0,0.2,5,85,200,1.5,1.0,1.5,20,0.25,50,50,-0.8012271848895499,-0.8498220754114343,-0.01319993575034369,-2.0516740191101412,0.12,0.18,1.0,-0.3780342699821142
20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,0.5,50,50,-0.8084865982986955,-0.9276092738442667,-0.004758827825690422,-0.981070710713471,0.12,0.26,1.0,-0.3814593997085887
14,14,50,3,14,10,4.0,20.0,20.0,0.2,5,85,200,1.0,0.5,3.0,10,1.0,46,46,-0.9209386544189732,-1.0987167103263609,-0.005992913180984123,-0.8085662320117094,0.10869565217391304,0.13043478260869565,1.0,-0.3854075816992715
20,20,50,5,10,20,2.0,25.0,15.0,0.1,5,85,200,2.0,1.0,3.0,20,0.25,50,50,-0.8868755360638686,-0.9813781770082719,-0.009105632882687108,-1.8789311166704896,0.12,0.32,1.0,-0.4184447958878455
20,10,50,5,14,14,2.0,25.0,15.0,0.1,10,90,200,2.0,2.0,1.5,30,1.0,55,55,-0.7039635927108265,-0.7454958559598037,-0.02613770791169919,-5.069597540104958,0.16363636363636364,0.2909090909090909,1.0,-0.4636965335129208
20,20,50,5,14,14,3.0,20.0,18.0,0.2,10,90,100,2.0,1.0,3.0,20,0.5,52,52,-0.8698080403926779,-0.9820114466830592,-0.009402063151361582,-1.7019733649169912,0.1346153846153846,0.25,1.0,-0.4648796693037628
10,14,50,5,10,20,2.0,30.0,15.0,0.2,10,90,100,2.0,0.5,2.0,10,0.25,50,50,-0.985735276318168,-1.1880492606933761,-0.006180866298982417,-1.0209431574280436,0.12,0.2,1.0,-0.46508870718100426
10,10,50,5,20,20,2.0,30.0,20.0,0.1,5,85,100,1.5,2.0,3.0,30,0.25,53,53,-0.4890722938457478,-0.534617367451353,-0.006524764824835645,-2.3233131809629417,0.24528301886792453,0.3584905660377358,1.0,-0.47852302850895617
20,14,100,5,20,20,2.0,20.0,18.0,0.1,10,90,200,1.0,2.0,3.0,30,0.5,54,54,-0.6629393907775051,-0.8463103459062313,-0.012619759758837456,-2.8964902818527207,0.18518518518518517,0.3148148148148148,1.0,-0.4919664852704617
14,14,50,5,10,20,3.0,20.0,15.0,0.05,5,90,200,2.0,1.0,2.0,10,1.0,53,53,-1.3481094803049674,-1.519805227290328,-0.023991668717706315,-3.1650619159642273,0.09433962264150944,0.16981132075471697,1.0,-0.5073195481092991
