adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
20,14,50,2,20,20,4.0,20.0,20.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,52,52,0.14974468540671498,0.19493858090827493,0.031939866345162916,-6.676565737190989,0.5769230769230769,0.6730769230769231,1.0,0.3429981424428963
20,14,100,2,20,14,2.0,30.0,20.0,0.05,10,85,200,2.0,1.0,1.5,30,0.25,46,46,0.13751195092680757,0.11470803980193292,0.007102997084571076,-1.946493146785986,0.6086956521739131,0.6304347826086957,1.0,0.3222686223018466
10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,0.5,52,52,0.07930677348880431,-0.052184636117275765,0.0094815021758098,-4.601664205412849,0.4807692307692308,0.5,1.0,0.151380308400245
14,14,100,2,20,20,4.0,20.0,20.0,0.05,10,85,100,1.0,2.0,1.5,30,1.0,52,52,0.057392560405068974,0.03782751238935371,0.021130150079948198,-5.698681614973224,0.5384615384615384,0.6538461538461539,1.0,0.12269665610154455
20,20,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,48,48,0.0524179829928732,0.13007344608836993,0.024133024008909886,-6.060642956159261,0.5833333333333334,0.7083333333333334,1.0,0.1190007992819809
20,14,50,2,20,20,4.0,25.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,49,49,0.05470079565481779,0.04450798891598945,0.025126951226047883,-5.999792519348668,0.5306122448979592,0.6938775510204082,1.0,0.11354612339670714
20,14,100,3,20,14,2.0,30.0,20.0,0.05,5,85,200,2.0,1.0,1.5,30,0.25,39,39,0.051720800286370446,0.03385085791535719,0.00512753808710508,-1.29692758850756,0.5641025641025641,0.6410256410256411,1.0,0.10762614219456121
20,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,1.0,1.5,30,0.5,46,46,0.04286256547284985,0.1062960460811535,0.012421566424761698,-3.238068749756034,0.5652173913043478,0.6739130434782609,1.0,0.09327624554607093
20,14,100,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,50,50,0.04492543124189233,0.01864823288342747,0.02354287017141552,-5.9868765136581565,0.5,0.7,1.0,0.08831948105903324
10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,1.5,30,1.0,54,54,0.04926638456998312,-0.117995197931281,0.009687348297674734,-5.1391067891253615,0.4444444444444444,0.5185185185185185,1.0,0.08774525235720813
20,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,100,1.0,2.0,1.5,30,0.5,49,49,0.039095677673699564,0.07513387917913952,0.022493164768061798,-5.708837076072799,0.5510204081632653,0.673469387755102,1.0,0.08427481923984771
10,20,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,52,52,0.03912982645107677,-0.0673242987487958,0.007258960587933651,-4.638783333243209,0.4423076923076923,0.5576923076923077,1.0,0.06871552252616124
20,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.25,49,49,0.029669533981441717,0.07501480149699385,0.02351075010201247,-6.104693939303903,0.5306122448979592,0.673469387755102,1.0,0.061587048712021135
10,14,50,5,10,14,2.0,20.0,15.0,0.1,10,90,200,1.0,2.0,2.0,30,1.0,52,52,0.03352837277852347,-0.05920607938052143,0.006337318294852133,-4.5909954837954405,0.4423076923076923,0.5192307692307693,1.0,0.058878862082577976
20,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,49,49,0.027205328042777005,0.07501480149699385,0.02323023898984856,-6.0978461169765525,0.5306122448979592,0.6938775510204082,1.0,0.056471930581890636
14,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,49,49,0.027205328042777005,0.07501480149699385,0.02323023898984856,-6.0978461169765525,0.5306122448979592,0.6938775510204082,1.0,0.056471930581890636
20,14,50,2,20,14,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,49,49,0.027205328042777005,0.07501480149699385,0.02323023898984856,-6.0978461169765525,0.5306122448979592,0.6938775510204082,1.0,0.056471930581890636
20,14,50,2,20,20,3.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,49,49,0.027205328042777005,0.07501480149699385,0.02323023898984856,-6.0978461169765525,0.5306122448979592,0.6938775510204082,1.0,0.056471930581890636
10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.5,2.0,2.0,30,1.0,52,52,0.03146830125786326,-0.05920607938052143,0.006208457361034443,-4.602667650598109,0.4423076923076923,0.5,1.0,0.05526118973842849
10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,52,52,0.031244369840518045,-0.05920607938052143,0.006193599977717698,-4.6040432742104835,0.4423076923076923,0.5,1.0,0.054867945869275646
14,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,52,52,0.031244369840518045,-0.05920607938052143,0.006193599977717698,-4.6040432742104835,0.4423076923076923,0.5,1.0,0.054867945869275646
