adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
14,10,200,2,10,10,3.0,25.0,20.0,0.2,10,90,200,1.0,2.0,1.5,10,1.0,4,4,0.47928955239499305,0.4881218856756722,0.028400184030683864,-2.1019503485080464,1.0,1.0,1.0,0.771386776658072
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,85,100,1.0,2.0,1.5,30,1.0,4,4,0.49368661053314944,0.603737521758192,0.028119578468925863,-2.0700234199521144,0.75,0.75,1.0,0.595918460889854
10,20,100,3,10,14,4.0,25.0,18.0,0.2,5,85,200,1.5,1.0,1.5,20,0.25,7,7,0.35652274140275286,0.42493549907055433,0.013530320625317746,-1.00457308550435,0.7142857142857143,0.7142857142857143,1.0,0.5295487135903298
20,20,200,2,10,14,3.0,20.0,18.0,0.1,10,90,100,2.0,1.0,1.5,10,0.5,1,1,0.6618695235178087,0.6618695235178087,0.026451259363502413,-0.8197803194078208,1.0,1.0,1.0,0.4587729941249235
14,10,200,2,10,10,3.0,30.0,20.0,0.2,10,85,200,1.0,2.0,1.5,10,1.0,1,1,0.6212861662058744,0.6212861662058744,0.026740025864056542,-2.2186834381319676,1.0,1.0,1.0,0.4306427544264994
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,20,1.0,3,3,0.45862626742672363,0.5789583183728213,0.02931258161460726,-2.096423773932401,0.6666666666666666,0.6666666666666666,1.0,0.42386067226341995
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.5,2.0,1.5,30,1.0,3,3,0.45432017918942763,0.5859963826852513,0.02951245176022567,-2.1183997670123547,0.6666666666666666,0.6666666666666666,1.0,0.41988100170218784
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
10,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
20,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,50,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,10,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,20,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,3.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,4.0,25.0,20.0,0.05,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,4.0,25.0,20.0,0.2,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,4.0,25.0,20.0,0.1,15,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,200,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,0.5,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,1.0,1.5,30,1.0,3,3,0.44125388407595983,0.5688909114782211,0.014284995512066386,-1.085631415625073,0.6666666666666666,0.6666666666666666,1.0,0.4078051808778353
14,14,100,3,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,9,9,0.26471109314575486,0.29021593861441963,0.020392835454575407,-2.0323363349554042,0.6666666666666666,0.6666666666666666,1.0,0.406346544685049
14,10,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.4286551906593345,0.5494647379840591,0.029024072813043904,-2.276114713185264,0.6666666666666666,0.6666666666666666,1.0,0.39616151578387127
14,10,200,2,10,10,3.0,30.0,20.0,0.2,10,90,200,1.0,2.0,2.0,10,1.0,1,1,0.5402982118383404,0.5402982118383404,0.02411416500362029,-1.6531190096322368,1.0,1.0,1.0,0.3745061821973257
10,14,200,2,14,14,3.0,30.0,20.0,0.2,15,85,200,1.5,0.5,3.0,10,1.0,2,2,0.3369205974833134,0.3369205974833134,0.001990475465994564,-0.3652248438759729,1.0,1.0,1.0,0.3701451087005699
