symbol,adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_windows,mean_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,sum_oos_n_trades,pct_oos_positive,robustness_score
AUDUSD_X,20,10,200,5,10,14,4.0,30.0,18.0,0.1,15,85,100,1.5,0.5,1.5,10,0.25,4,-0.7435428391968915,-0.0028119155953146677,-0.63069947440772,5,0.25,-0.37177141959844573
AUDUSD_X,20,20,100,5,10,10,4.0,20.0,18.0,0.1,10,90,200,1.5,2.0,2.0,30,0.5,4,-0.48767872275306906,-0.007931493385824523,-2.314685109027555,5,0.25,-0.24383936137653453
AUDUSD_X,20,10,100,3,14,20,2.0,25.0,20.0,0.05,10,85,100,1.0,2.0,2.0,30,1.0,4,-0.8121159095411981,-0.010403134915402644,-1.6190117803891253,5,0.0,-0.0
AUDUSD_X,20,14,50,5,14,20,4.0,20.0,18.0,0.05,5,90,200,1.0,0.5,1.5,20,1.0,4,-0.7070443100668694,-0.002992336002536331,-0.6844217366107488,7,0.25,-0.3535221550334347
AUDUSD_X,20,14,200,5,20,10,2.0,25.0,20.0,0.1,5,85,100,2.0,2.0,2.0,30,0.25,4,-0.38402999391524356,-0.005714327213152956,-2.246144990933527,6,0.25,-0.19201499695762178
AUDUSD_X,10,20,100,3,10,10,2.0,25.0,20.0,0.2,15,95,200,2.0,2.0,2.0,10,0.5,4,-0.8346948371807181,-0.011787015865604598,-1.605838171828529,5,0.0,-0.0
AUDUSD_X,10,20,50,5,14,10,3.0,20.0,20.0,0.05,10,85,100,2.0,2.0,1.5,10,1.0,4,-1.0276261612068156,-0.019154867029630214,-2.94299615462928,8,0.0,-0.0
AUDUSD_X,20,10,50,3,20,14,2.0,25.0,15.0,0.2,15,85,100,1.5,0.5,2.0,30,0.5,4,-0.7750374738363104,-0.0023561088617666884,-0.4074666521710947,5,0.25,-0.3875187369181552
AUDUSD_X,20,14,50,3,14,10,4.0,20.0,15.0,0.1,5,85,100,1.5,0.5,1.5,10,0.25,4,-0.9525343748825713,-0.0038925879053729657,-0.5606440366213857,6,0.0,-0.0
BZ_F,14,20,50,5,14,14,4.0,20.0,15.0,0.2,5,95,100,1.0,1.0,2.0,30,0.5,4,-0.4486097894599089,0.0029093238880211624,-1.2648299938619263,5,0.5,-0.4486097894599089
BZ_F,20,14,50,5,14,20,4.0,20.0,18.0,0.05,5,90,200,1.0,0.5,1.5,20,1.0,4,-0.11230824055085659,0.0033053270139950194,-0.6684278440627758,5,0.5,-0.11230824055085659
BZ_F,10,20,50,5,14,10,3.0,20.0,20.0,0.05,10,85,100,2.0,2.0,1.5,10,1.0,4,0.17458817601285664,0.021045464469070928,-2.470040905269534,5,0.5,0.17458817601285664
CADJPY_X,14,10,200,5,20,10,2.0,25.0,18.0,0.1,15,85,100,1.5,2.0,1.5,30,1.0,4,0.6191767152626612,0.0177069911888962,-2.5787021282651224,5,0.5,0.6191767152626612
CADJPY_X,14,10,50,5,10,10,2.0,25.0,18.0,0.2,15,90,100,1.5,1.0,3.0,30,0.5,4,0.18604226608191698,0.00022592938399907325,-1.1459793677402144,5,0.5,0.18604226608191698
CADJPY_X,10,20,200,3,10,14,4.0,30.0,18.0,0.2,10,85,100,1.0,2.0,2.0,10,1.0,4,0.6909175569785326,0.015155720929686596,-1.91424728045522,7,0.5,0.6909175569785326
CADJPY_X,20,20,200,3,14,20,2.0,20.0,18.0,0.1,10,95,200,2.0,0.5,1.5,10,1.0,4,0.01858019037115488,0.0009614129921597851,-0.4844360559077774,5,0.25,0.00929009518557744
CADJPY_X,10,20,100,5,10,10,4.0,20.0,20.0,0.05,5,90,100,1.5,1.0,3.0,10,0.25,4,0.78287332586477,0.010802456736826116,-0.870668598214908,7,0.5,0.78287332586477
CADJPY_X,20,10,50,5,20,10,2.0,30.0,18.0,0.2,10,95,100,1.0,0.5,2.0,10,0.5,4,0.5293610905014288,0.00249008439043505,-0.5351790544286847,5,0.5,0.5293610905014288
CADJPY_X,20,10,50,5,10,20,3.0,20.0,20.0,0.2,10,85,100,2.0,2.0,2.0,30,1.0,4,0.9127456039512984,0.011862005599563193,-2.691927170942058,6,1.0,1.825491207902597
CADJPY_X,10,20,200,5,14,14,3.0,20.0,20.0,0.05,5,90,100,1.5,1.0,1.5,10,0.5,4,1.0624324554732638,0.014574372205596956,-0.9918410911163592,5,0.5,1.0624324554732638
CADJPY_X,20,14,100,5,20,14,2.0,25.0,20.0,0.05,15,95,200,1.0,2.0,1.5,10,1.0,4,0.13470258149440542,0.006214398940304044,-2.537282934992079,6,0.25,0.06735129074720271
CADJPY_X,14,10,50,2,10,20,2.0,20.0,20.0,0.05,15,85,200,1.0,1.0,1.5,20,1.0,4,1.807713784864619,0.02520741567404916,-1.2308354263392438,6,0.75,2.7115706772969284
CADJPY_X,10,10,200,5,20,20,2.0,30.0,20.0,0.05,5,95,100,1.5,1.0,1.5,20,0.25,4,0.6129791359102285,0.008952135046500371,-1.3107231837058773,5,0.5,0.6129791359102285
CADJPY_X,20,10,200,5,20,14,2.0,20.0,20.0,0.1,10,95,200,1.5,2.0,2.0,20,1.0,4,0.7749387660231234,0.016829054491098713,-2.5127590289297634,6,0.75,1.1624081490346851
CADJPY_X,10,20,100,5,20,14,2.0,20.0,15.0,0.05,5,90,100,1.5,1.0,3.0,20,0.25,4,1.1992357188609444,0.010202577306959755,-0.9781524740086754,5,0.75,1.7988535782914166
CADJPY_X,10,14,100,5,14,14,4.0,20.0,20.0,0.1,5,95,200,1.0,0.5,1.5,10,0.5,4,0.5227082661303355,0.005830945839475954,-0.582383459196787,6,0.5,0.5227082661303355
CADJPY_X,14,10,100,5,10,14,2.0,25.0,20.0,0.1,15,90,100,2.0,1.0,1.5,10,0.5,4,0.12813132398309568,0.009330636025050397,-1.3499262189293029,7,0.5,0.12813132398309568
CADJPY_X,20,20,200,3,10,20,3.0,25.0,15.0,0.1,15,90,100,2.0,1.0,2.0,20,0.25,4,-0.12178397587353174,0.007956562590836939,-1.2646764876722407,6,0.5,-0.12178397587353174
CADJPY_X,14,14,50,3,10,10,2.0,20.0,18.0,0.05,5,95,200,1.5,2.0,1.5,20,0.25,4,0.6842556961609217,0.028367828360651992,-2.1182163410367445,5,0.5,0.6842556961609217
CADJPY_X,20,10,100,5,20,20,3.0,25.0,15.0,0.2,15,95,200,1.0,0.5,2.0,30,1.0,4,0.7486060446882513,0.0036557253368247077,-0.658424986680429,5,0.75,1.122909067032377
CADJPY_X,10,14,200,2,20,20,3.0,25.0,18.0,0.1,15,95,100,1.5,1.0,1.5,10,0.25,4,0.5902417557110671,0.014257517552624449,-1.0498290025246655,5,0.5,0.5902417557110671
CADJPY_X,20,20,200,5,20,20,2.0,30.0,20.0,0.05,5,85,200,1.0,2.0,2.0,10,0.5,4,0.33970926301185816,0.010592497323108137,-2.335708008600846,6,0.5,0.33970926301185816
CADJPY_X,10,20,100,3,10,20,2.0,25.0,20.0,0.1,15,90,100,1.0,0.5,3.0,30,0.25,4,1.1873021874049832,0.0053443450592416415,-0.49110658589226996,5,0.75,1.7809532811074749
CADJPY_X,14,10,200,3,10,20,2.0,20.0,15.0,0.05,10,95,200,2.0,2.0,1.5,20,0.5,4,0.33249249565998906,0.01925288326398104,-2.443424457063121,6,0.5,0.33249249565998906
CADJPY_X,20,10,100,5,20,14,4.0,25.0,18.0,0.1,5,95,200,1.0,2.0,3.0,10,0.25,4,0.3172983160210138,0.01117732055132219,-1.9125423923476588,6,0.25,0.1586491580105069
CADJPY_X,10,20,100,2,10,14,3.0,30.0,18.0,0.1,5,85,200,2.0,1.0,1.5,30,0.5,4,1.2361079347417792,0.018386237003476663,-1.054004999239752,5,0.5,1.2361079347417792
CADJPY_X,14,20,200,5,20,10,2.0,30.0,20.0,0.1,15,85,200,1.5,1.0,2.0,30,0.25,4,0.41360906005585246,0.00640611952838276,-1.1870877723153488,5,0.5,0.41360906005585246
CADJPY_X,20,14,200,2,14,10,2.0,25.0,18.0,0.1,15,95,100,2.0,2.0,1.5,30,0.5,4,0.5872068267237709,0.02884166364495045,-2.08961424508393,5,0.5,0.5872068267237709
CADJPY_X,20,20,100,3,14,20,3.0,20.0,18.0,0.1,10,90,200,2.0,1.0,1.5,10,1.0,4,0.36319691242058816,0.0049141225173144,-0.9918410911163592,5,0.5,0.36319691242058816
CADJPY_X,14,14,100,5,10,20,2.0,20.0,15.0,0.05,15,85,100,1.0,1.0,2.0,10,0.5,4,0.7379935862146718,0.007929597678881328,-1.113269202707776,7,0.5,0.7379935862146718
CADJPY_X,10,20,100,5,10,14,3.0,25.0,20.0,0.2,10,95,200,2.0,2.0,2.0,10,0.5,4,-0.17353080151065536,0.013959002797109363,-2.43968444673078,7,0.5,-0.17353080151065536
CADJPY_X,14,14,200,3,14,20,2.0,30.0,20.0,0.1,5,95,200,1.5,1.0,1.5,10,0.5,4,0.7659577552259871,0.009688704637783985,-0.9835717951012939,5,0.5,0.7659577552259871
CADJPY_X,14,20,100,2,20,14,4.0,25.0,20.0,0.2,15,85,200,1.0,0.5,2.0,10,0.25,4,0.45747806004138986,0.004966455326082542,-0.4850234563095353,5,0.5,0.45747806004138986
CADJPY_X,10,14,100,5,20,10,4.0,20.0,18.0,0.2,5,95,200,1.0,0.5,3.0,30,0.5,4,1.4915693600879802,0.007235620251159844,-0.47461949837438333,5,1.0,2.9831387201759605
CADJPY_X,14,10,200,5,14,20,3.0,30.0,20.0,0.1,10,85,100,1.0,2.0,1.5,20,0.25,4,0.18430785790993287,0.01893749758074646,-2.680647670195558,5,0.5,0.18430785790993287
CADJPY_X,20,10,100,5,10,20,3.0,30.0,15.0,0.05,10,95,200,1.0,1.0,1.5,20,0.25,4,1.0174450718106725,0.013728959438453012,-1.1107255821455924,5,0.5,1.0174450718106725
CADJPY_X,10,14,50,5,10,10,4.0,20.0,15.0,0.05,5,95,100,1.0,0.5,2.0,10,0.25,4,0.8268030798858671,0.004081982540555692,-0.47735235547158017,6,0.5,0.8268030798858671
CADJPY_X,10,10,200,5,20,10,4.0,30.0,20.0,0.2,10,85,100,1.5,0.5,2.0,10,0.25,4,0.5969977684719306,0.002885990409601572,-0.6232938769717883,6,0.5,0.5969977684719306
CADJPY_X,14,10,200,5,10,10,2.0,30.0,15.0,0.1,10,90,200,1.0,0.5,1.5,20,0.5,4,0.8114684666609335,0.005548715213841751,-0.5365193472315293,5,0.5,0.8114684666609335
CADJPY_X,10,10,50,5,10,20,4.0,20.0,18.0,0.2,10,95,200,1.0,2.0,1.5,10,0.25,4,1.0072017593676463,0.02427118646743329,-2.154561753233579,6,0.5,1.0072017593676463
CADJPY_X,14,20,200,3,20,20,2.0,20.0,20.0,0.2,15,90,100,2.0,1.0,2.0,10,1.0,4,0.07560688553803452,0.0024777636971895843,-0.9283557127917709,6,0.25,0.03780344276901726
CADJPY_X,14,20,200,2,20,10,4.0,25.0,20.0,0.2,15,85,100,1.0,1.0,1.5,30,0.25,4,0.6986215122989359,0.016355607142274176,-1.023043324974833,5,0.5,0.6986215122989359
CADJPY_X,20,10,200,2,14,10,2.0,30.0,18.0,0.05,15,90,100,1.0,0.5,2.0,10,0.5,4,0.22545037737946955,0.0035663631009823344,-0.5348416503964394,5,0.5,0.22545037737946955
CADJPY_X,14,14,100,3,14,10,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,10,1.0,4,0.28211809554293243,0.007834549720788026,-2.0028621019753445,5,0.25,0.14105904777146622
CADJPY_X,20,20,200,5,10,14,2.0,25.0,20.0,0.05,10,85,100,2.0,1.0,3.0,10,1.0,4,-0.8002147199620191,-0.003305507582144856,-0.9800502831076365,6,0.25,-0.40010735998100955
CADJPY_X,10,10,50,3,10,10,3.0,20.0,20.0,0.1,5,85,200,1.0,0.5,1.5,20,0.5,4,0.5918714902600788,0.006213065068528703,-0.5634387229280275,5,0.5,0.5918714902600788
CADJPY_X,20,10,200,2,10,10,3.0,25.0,18.0,0.1,15,90,200,1.0,0.5,2.0,30,0.5,4,-0.35758543671544984,0.002512247109074042,-0.6864264330016356,6,0.5,-0.35758543671544984
CADJPY_X,14,20,100,3,20,10,4.0,20.0,15.0,0.1,5,85,200,1.5,1.0,1.5,30,1.0,4,1.3926538814131786,0.02020128345297353,-1.0165485661854943,5,0.5,1.3926538814131786
CADJPY_X,10,20,50,5,10,20,4.0,25.0,15.0,0.1,15,90,100,1.5,2.0,2.0,20,1.0,4,-0.0033970161165479684,0.017020241771751536,-2.141687320705806,5,0.5,-0.0033970161165479684
