adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
14.0,20.0,100.0,2.0,10.0,20.0,3.0,30.0,15.0,0.1,15.0,90.0,100.0,1.5,1.0,1.5,20.0,0.25,2,2,1.0653326504708733,1.0653326504708733,0.018651255961253353,-1.0813738648615976,1.0,1.0,1.0,1.1703875413266696
10.0,20.0,100.0,3.0,10.0,14.0,3.0,30.0,18.0,0.05,5.0,95.0,200.0,1.5,0.5,3.0,30.0,0.25,4,4,0.8697033628149129,1.1808285149826678,0.0055129474455427275,-0.5004635224996119,0.75,0.75,1.0,1.0498001735143128
14.0,20.0,100.0,2.0,10.0,20.0,3.0,30.0,18.0,0.1,15.0,90.0,100.0,1.5,1.0,2.0,20.0,0.25,5,5,0.7275515076741663,0.9399629887699605,0.011685867963447963,-1.055575372898648,0.8,0.8,1.0,1.0428778425810683
10.0,20.0,100.0,2.0,10.0,14.0,3.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,2.0,1.5,30.0,0.5,2,2,0.9095192134962802,0.9095192134962802,0.031157118715834712,-2.101606902454167,1.0,1.0,1.0,0.9992089847267676
10.0,20.0,100.0,2.0,10.0,14.0,3.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,1.0,1.5,30.0,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
14.0,20.0,100.0,2.0,10.0,14.0,3.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,1.0,1.5,30.0,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
10.0,20.0,200.0,2.0,10.0,14.0,3.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,1.0,1.5,30.0,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
10.0,20.0,100.0,2.0,10.0,10.0,3.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,1.0,1.5,30.0,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
10.0,20.0,100.0,2.0,10.0,20.0,3.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,1.0,1.5,30.0,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
10.0,20.0,100.0,2.0,10.0,14.0,4.0,30.0,18.0,0.1,5.0,85.0,200.0,2.0,1.0,1.5,30.0,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
